nombre_arma,descripcion_pasiva
Box Cutter,"Upon launching an Aftershock, the equipper's Physical DMG increases by 15/17.3/19.5/21.8/24%, and Daze inflicted increases by 10/11.5/13/14.5/16%, lasting 10s."
Demara Battery Mark II,"Increases Electric DMG by 15/17.5/20/22/24%. When the equipper hits an enemy with Dodge Counter or Assist Attack, their Energy Generation Rate increases by 18/20.5/23/25/27.5% for 8s."
Grill O'Wisp,"The equipper's Fire DMG increases by 15/17.25/19.5/21.75/24%. When the equipper's HP decreases, their CRIT Rate increases by 15/17.25/19.5/21.75/24% for 5s."
Big Cylinder,"Reduces DMG taken by 7.5/8.5/9.5/10.5/12%. After being attacked, the next attack to hit an enemy will trigger a critical hit and deal 600/690/780/870/960% of the equipper's DEF as additional DMG. This effect can be triggered once every 7.5s."
Tremor Trigram Vessel,"The equipper's EX Special Attack and Ultimate DMG increases by 25/28.7/32.5/36.2/40%. Whenever any squad member takes DMG or heals, the equipper gains 2/2.3/2.6/2.9/3.2 Energy. This effect can trigger once every 5s."
Peacekeeper - Specialized,"While Shielded, the equipper's Energy Regen increases by 0.4/s. The Anomaly Buildup of EX Special Attacks and Assist Follow-Ups increase by 36%."
Gilded Blossom,"ATK increases by 6/6.9/7.8/8.7/9.6%, and DMG dealt by EX Special Attacks increases by 15/17.2/19.5/21.8/24%."
Marcato Desire,"When an EX Special Attack or Chain Attack hits an enemy, the equipper's ATK increases by 6/6.9/7.8/8.7/9.6% for 8s. While the target is under an Attribute Anomaly, this effect is increased by an additional 6/6.9/7.8/8.7/9.6%."
Starlight Engine,"Launching a Dodge Counter or Quick Assist increases the equipper's ATK by 12/13.8/15.6/17.4/19.2% for 12s."
Street Superstar,"Whenever a squad member launches a Chain Attack, the equipper gains a Charge stack, stacking up to 3 times. Upon activating their own Ultimate, the equipper consumes all Charge stacks, and each stack increases the skill's DMG by 15/17.2/19.5/21.7/24%."
Rainforest Gourmet,"For every 10 Energy consumed, the equipper gains a buff that increases ATK by 2.5/2.8/3.2/3.6/4% for 10s, stacking up to 10 times. The duration of each stack is calculated separately."
Weeping Gemini,"Whenever a squad member inflicts an Attribute Anomaly on an enemy, the equipper gains a buff that increases Anomaly Proficiency by 30/34/38/42/46, stacking up to 4 times. This effect expires when the target recovers from Stun or is defeated. The duration of each stack is calculated separately."
Slice of Time,"Any squad members' Dodge Counter, EX Special Attack, Assist Attack, or Chain Attack respectively generates 20/23/26/29/32 (Dodge) | 25/28.5/32/35.5/40 (Special) | 30/34.5/39/43.5/48 (Assist) | 35/40/45/50/55 (Chain) more Decibels and generates 0.7/0.8/0.9/1/1.1 Energy for the equipper. This effect can trigger once every 12s. The cooldown for each type of attack is independent of others. Passive effects of the same name do not stack."
Steam Oven,"For every 10 Energy accumulated, the equipper's Impact is increased by 2/2.3/2.6/2.9/3.2%, stacking up to 8 times. After Energy is consumed, this bonus remains for 8 more seconds. The duration of each stack is calculated separately."
Precious Fossilized Core,"When the target's HP is no lower than 50%, the equipper inflicts 10/11.5/13/14.5/16% more Daze. When the target's HP is no lower than 75%, this bonus is further enhanced by 10/11.5/13/14.5/16%."
The Simmering Pot,"When activating an Assist Follow-Up, the equipper's Daze inflicted on the target increases by 7.2/8.2/9.2/10.2/11.5%, and DMG dealt increases by 7.2/8.2/9.2/10.2/11.5% for 30s. Repeated triggers reset the duration."
Puzzle Sphere,"Upon launching an EX Special Attack, the equipper's CRIT DMG increases by 16/18.4/20.8/23.2/25.6% for 12s. Additionally, if the target's current HP is below 50% of their Max HP, EX Special Attack DMG increases by 20/23/26/29/32%."
Cauldron of Clarity,"When the equipper activates an EX Special Attack, they gain 1 stack of a buff. Each stack increases the equipper's DMG by 4/4.6/5.2/5.8/6.4%, up to 3 stacks, and lasting 20s. This effect can trigger once every 0.5s, and repeated triggers reset the duration. At 3 stacks, the equipper's CRIT Rate increases by 6.5/7.5/8.5/9.4/10.4%."
Bunny Band,"Increases Max HP by 8/9.2/10.4/11.6/12.8%. Increases the equipper's ATK by 10/11.5/13/14.5/16% when they are shielded."
Reel Projector,"When a squad member's HP is greater than or equal to 50%, they take 7.5/8.6/9.7/10.8/12% less DMG, and 10/11.5/13/14.5/16% less Miasma Contamination. Only one instance of this effect can exist in the same squad."
Original Transmorpher,"Increases Max HP by 8/9/10/11/12.5%. When attacked, the equipper's Impact is increased by 10/11.5/13/14.5/16% for 12s."
Cannon Rotor,"Increases ATK by 7.5/8.6/9.7/10.8/12%. Attacks that land a CRIT on an enemy will inflict an additional 200% of ATK as DMG. This effect can only be triggered once every 8/7.5/7/6.5/6s."
Electro-Lip Gloss,"When there are enemies inflicted with Attribute Anomaly on the field, the equipper's ATK increases by 10/11.5/13/14.5/16% and they deal an additional 15/17.5/20/22.5/25% more DMG to the target."
Unfettered Game Ball,"Whenever the equipper's attack triggers an Attribute Counter effect, all squad members' CRIT Rate against the struck enemy increases by 12/13.5/15.5/17.5/20% for 12s. The bonuses triggered by the same type of passive effects do not stack."
Radiowave Journey,"When launching a Chain Attack or Ultimate, the equipper gains 1 stack of a buff effect. Each stack increases the equipper's Sheer Force by 80/92/104/116/128, stacking up to 3 times, and lasting 12s. The duration of each stack is calculated separately."
Six Shooter,"The equipper gains a Charge stack every 3s, stacking up to 6 times. When launching an EX Special Attack, consumes all Charge stacks, and each stack increases the Daze inflicted by 4/4.6/5.2/5.8/6.4%."
Spring Embrace,"Reduces DMG taken 7.5/8.5/9.5/10.5/12%. When attacked, the equipper's Energy Generation Rate increased by 10/11.5/13/14.5/16% for 12s. When the equipper switches off-field, this buff will be transferred to the new on-field character with its duration refreshed. Passive effects of the same name do not stack."
Steel Cushion,"Increases Physical DMG by 20/25/30/35/40%. The equipper's DMG increases by 25/31.5/38/44/50% when attacking the enemy from behind."
The Brimstone,"Upon hitting an enemy with a Basic Attack, Dash Attack, or Dodge Counter, the equipper's ATK increases by 3.5/4.4/5.2/6/7% for 8s, stacking up to 8 times. This effect can trigger once every 0.5s. The duration of each stack is calculated separately."
Fusion Compiler,"Increases ATK by 12/15/18/21/24%. When using a Special Attack or EX Special Attack, the equipper's Anomaly Proficiency is increased by 25/31/37/43/50 for 8s, stacking up to 3 times. The duration of each stack is calculated separately."
Weeping Cradle,"While off-field, Energy Regen increases by 0.6/0.75/0.9/1.05/1.2 per second. Attacks from the equipper enhance the squad's DMG against a struck target by 10/12.5/15/17.5/20% for 3 seconds. During this period, this effect is further increased by 1.7/2/2.5/3/3.3% every 0.5s, up to a maximum additional increase of 10.2/12/15/18/19.8%. Repeated triggers only refresh its duration without refreshing the DMG increase effect. Passive effects of the same name do not stack."
Hellfire Gears,"When off-field, the equipper's Energy Regen increases by 0.6/0.75/0.9/1.05/1.2 per second. When using an EX Special Attack, the equipper's Impact is increased by 10/12.5/15/17.5/20% for 10s, stacking up to 2 times. The duration of each stack is calculated separately."
The Restrained,"When an attack hits an enemy, DMG and Daze from Basic Attacks increase by 6/7.5/9/10.5/12% for 8s, stacking up to 5 times. This effect can trigger at most once during each skill. The duration of each stack is calculated separately."
Cloudcleave Radiance,"The equipper's DMG ignores 20/22/24/26/28% of the target's Physical RES. When the equipper activates an Ether Veil, the equipper's DMG increases by 25/28.7/32.5/36.2/40% and CRIT DMG increases by 25/28.7/32.5/36.2/40% for 40s. Repeated triggers reset the duration."
Hailstorm Shrine,"CRIT DMG increases by 50/57/65/72/80%. When using an EX Special Attack or when any squad member applies an Attribute Anomaly to an enemy, the equipper's Ice DMG increases by 20/23/26/29/32%, stacking up to 2 times and lasting 15s. The duration of each stack is calculated separately."
Qingming Birdcage,"CRIT Rate increases by 20/23/26/29/32%. When the equipper launches an EX Special Attack, the character gains the Qingming Companion effect, stacking up to 2 times and lasting 15s. On entering combat, immediately gain 2 stacks. Repeated triggers reset the duration. Each stack of the Qingming Companion effect increases the equipper's Ether DMG by 8/9.2/10.4/11.6/12.8%, and increases Ultimate and EX Special Attack Ether Sheer DMG by 10/11.5/13/14.5/16%."
Cordis Germina,"Increases CRIT Rate by 15/17/19/21/23%. When the equipper deals DMG with a Basic Attack or EX Special Attack, they gain 1 stack of a buff. Each stack increases the equipper's Electric DMG by 12.5/14.5/16.5/18.5/20%, up to 2 stacks. Each stack lasts 40s. The duration of each stack is calculated separately. Can trigger once per use of a skill. At 2 stacks, the wearer's Basic Attack and Ultimate DMG ignore 20/23/26/29/32% of enemy DEF."
Serpentine Seeker,"CRIT Rate increases by 25/28.8/32.5/36.3/40%. When the equipper consumes at least 20 Energy in a single instance, every 20 Energy consumed grants 3s of a buff: when dealing Electric DMG, ignore 28/31.5/35/38.5/42% of the target's DEF. Repeated triggers extend the duration, up to a maximum of 30s. When entering combat, gain 10s of this buff. While the equipper is not the active character, the duration no longer decreases."
Bellicose Blaze,"Increases CRIT Rate by 20/23/26/29/32%. When the equipper triggers an Aftershock that deals Fire DMG, their attacks ignore 15/17.2/19.5/21.7/24% of the target's DEF for 8s. Can stack once every 3s, up to 2 stacks. Repeated triggers reset the duration."
Zanshin Herb Case,"CRIT Rate increases by 10/11.5/13/14.5/16%. Dash Attack Electric DMG increases by 40/46/52/58/64%. When any squad member applies an Attribute Anomaly or Stuns an enemy, the equipper's CRIT Rate increases by an additional 10/11.5/13/14.5/16% for 15s."
Myriad Eclipse,"Increases CRIT DMG by 45/51.75/58.5/65.25/72%. When using an EX Special Attack, Chain Attack, or Ultimate to deal Ice DMG, the equipper gains the Absolute Zero Death Sentence effect for 3s. While Absolute Zero Death Sentence is active, the character ignores 25/28.75/32.5/36.25/40% of the enemy's DEF when landing a hit."
Riot Suppressor Mark VI,"Increases CRIT Rate by 15%. Launching an EX Special Attack grants the equipper 8 Charge stacks, up to a maximum of 8 stacks. Whenever the equipper's Basic Attack deals Ether DMG, consumes a Charge stack and increases the skill's DMG by 35%."
Deep Sea Visitor,"Increases Ice DMG by 25/31.5/38/44.5/50%. Upon hitting an enemy with a Basic Attack, the equipper's CRIT Rate increases by 10/12.5.15/17.5/20% for 8s. When dealing Ice DMG with a Dash Attack, the equipper's CRIT Rate increases by an additional 10/12.5.15/17.5/20%for 15s. The duration of each effect is calculated separately."
Severed Innocence,"CRIT DMG is increased by 30/34.5/39/43.5/48%. When the equipper lands a hit with a Basic Attack, Special Attack, or Aftershock, they gain 1 stack of a buff. Each stack increases the equipper's CRIT DMG by an additional 10/11.5/13/14.5/16%, stacking up to 3 times. The effect lasts for 30s, with each stack's duration calculated separately, and can only be triggered once per use of a skill. With all 3 stacks, the equipper's Electric DMG increases by 20/23/26/29/32%."
Heartstring Nocturne,"CRIT DMG increases by 50/57.5/65/72.5/80%. When the equipper enters the battlefield, or activates a Chain Attack or Ultimate, they gain 1 stack of Heartstring. Each stack of Heartstring allows the equipper's Chain Attack and Ultimate to ignore 12.5/14.5/16.5/18.5/20% of the target's Fire RES, stacking up to 2 times and lasting 30s. Repeated triggers reset the duration."
Flamemaker Shaker,"While off-field, the equipper's Energy Regen increases by 0.6/0.75/0.9/1.05/1.2 per second. When hitting an enemy with an EX Special Attack or Assist Attack, the equipper's DMG increases by 3.5/4.4/5.2/6.1/7%, stacking up to 10 times and lasting for 6s. This effect can trigger once every 0.3s. While off-field, the stack effect is doubled. Repeated triggers reset the duration. Upon obtaining the DMG increase effect, if the number of current stacks is greater than or equal to 5, then the equipper's Anomaly Proficiency increases by 50/62/75/87/100. This Anomaly Proficiency increase does not stack and lasts for 6s."
Sharpened Stinger,"Upon activating a Dash Attack, gain 1 stack of Predatory Instinct. Each stack of Predatory Instinct increases the equipper's Physical DMG by 12/15/18/21/24% for 10s, stacking up to 3 times. This effect can trigger once every 0.5s and repeated triggers reset the duration. When entering combat or triggering Perfect Dodge, gain 3 stacks of Predatory Instinct. While Predatory Instinct is at maximum stacks, the equipper's Anomaly Buildup Rate increases by 40/50/60/70/80%."
Flight of Fancy,"Increases Anomaly Buildup Rate by 40/46/52/58/64%. When the equipper deals Ether DMG, their Anomaly Proficiency increases by 20/23/26/29/32 for 5s, stacking up to 6 times. This effect can trigger once every 0.5s, and repeated triggers reset the duration."
Practiced Perfection,"The equipper's Anomaly Mastery increases by 60/69/78/87/96. When inflicting Assault, the equipper's Physical DMG increases by 20/23/26/29/32% for 20s, stacking up to 2 times. Repeated triggers reset the duration. When the equipper enters combat, immediately gain 2 stacks."
Timeweaver,"The equipper's Electric Anomaly Buildup Rate increases by 30/35/40/45/50%. When Special Attacks or EX Special Attacks hit enemies under Attribute Anomalies, the equipper's Anomaly Proficiency increases by 75/85/95/105/115 for 15s. When the equipper's Anomaly Proficiency is greater than or equal to 375, Disorder DMG inflicted by the equipper increases by 25/27.5/30/32.5/35%."
Angel in the Shell,"Increases the equipper's Anomaly Proficiency by 90/103/117/130/144. When the equipper is an Ether character, and comes on-field or uses a Special Attack or EX Special Attack, they gain a buff: DMG dealt to enemies afflicted with Attribute Anomalies increases by 20/23/26/29/32%, and all Attribute Anomaly DMG they trigger increases by 10/11.5/13/14.5/16%, lasting 15s. Repeated triggers reset the duration, and the effect is removed when switching off-field."
Frostfall Sickle,"When an Ice attribute equipper uses a Special Attack or EX Special Attack, their Ice DMG is increased by 20/23/26/29/32% for 40s, stacking up to 2 times, once per use of a skill. Repeated triggers refresh the duration. At 2 stacks, the equipper's Abloom DMG dealt is increased by an additional 35/38.5/42/45.5/50%."
Metanukimorphosis,"When the equipper's EX Special Attack or Ultimate deals Physical DMG, their Anomaly Mastery increases by 30/34/39/43/48 for 40s. When the equipper's Aftershock hits an enemy, all squad members' Anomaly Proficiency increases by 60/69/78/87/98 for 40s. Only one instance of this effect can exist in the same squad."
Dreamlit Hearth,"The equipper's Energy Regen increases by 0.40/0.46/0.52/0.58/0.64/s. When the equipper activates Ether Veil or extends its duration, all squad members gain 25/28.8/32.5/36.3/40% increased DMG and 15/17.3/19.5/21.8/24% increased Max HP for 45s. Repeated triggers reset the duration. Only one instance of this effect can exist in the same squad."
Elegant Vanity,"When any squad member enters the field through a Quick Assist, Chain Attack, Defensive Assist, or Evasive Assist, the equipper gains 5/5.5/6/6.5/7 Energy. This effect can trigger once every 5s. When the equipper consumes 25 or more Energy, the DMG dealt by all squad members increases by 10/11.5/13/14.5/16%, stacking up to 2 times, and lasting 20s. Repeated triggers refresh the duration. Only one instance of this effect can exist in the same squad."
Thoughtbop,"While not the active character, the equipper's Energy Regen increases by 0.6/0.69/0.78/0.87/0.96 per second. When the equipper uses an EX Special Attack and deals Physical DMG, all squad members gain a buff: DMG dealt increases by 12.5/14.3/16.1/17.9/20% for 40s, stacking up to 2 times. Repeated triggers reset the duration. At 2 stacks, characters gain an additional 10/11.5/13/14.5/16% ATK. Only one instance of this effect can exist in the same squad."
Blazing Laurel,"Upon launching a Quick Assist or Perfect Assist, the equipper's Impact increases by 25/28.75/32.5/36.25/40% for 8s. When the equipper launches and hits an enemy with a Basic Attack, apply Wilt to the target for 30s, stacking up to 20 times, repeated triggers reset the duration. When any squad member hits an enemy, for every stack of Wilt applied to the target, the CRIT DMG of the Ice DMG and Fire DMG dealt by that attack increases by 1.5/1.72/1.95/2.17/2.4%. Only one of this effect can be active at a time in the same squad."
Neon Fantasies,"The equipper's Anomaly Proficiency increases by 90/103/117/130/145. When the equipper's EX Special Attack or Basic Attack deals Ether DMG, all squad members' DMG dealt increases by 15/17/19.5/21/24% for 40s, stacking up to 2 times. This effect can trigger once per use of a skill and repeated triggers reset the duration. With 2 stacks, the equipper's Anomaly Proficiency increases by an additional 60/69/78/87/96. Only one instance of this effect can exist in the same squad."
Ice-Jade Teapot,"When a Basic Attack hits an enemy, gain 1 stack of Tea-riffic. Each stack of Tea-riffic increases the user's Impact by 0.7/0.88/1.05/1.22/1.4%, stacking up to 30 times, and lasting for 8s. The duration of each stack is calculated separately. Upon acquiring Tea-riffic, if the equipper possesses stacks of Tea-riffic greater than or equal to 15, all squad members' DMG is increased by 20/23/26/29/32% for 10s. Passive effects of the same name do not stack."
Spectral Gaze,"When the equipper hits an enemy with an Aftershock, causing Electric DMG, the target's DEF is reduced by 25/28.75/32.5/36.25/40% for 5s. Passive effects of the same name do not stack. When this effect is triggered, if the equipper is not the active character, they gain 1 stack of Spirit Lock, up to a maximum of 3 stacks. This can trigger only once per use of a skill. Each stack of Spirit Lock increases the equipper's Impact by 4/4.6/5.2/5.8/6.4%, lasting 12s. The duration of each stack is calculated separately. At full stacks of Spirit Lock, the equipper's Impact increases by an additional 8/9.2/10.4/11.6/12.8%."
Roaring Fur-nace,"The Daze dealt by the equipper's EX Special Attack, Chain Attack, and Ultimate increases by 28/32.2/36.4/40.6/44.8%. When using a Chain Attack or Ultimate to deal Fire DMG, the DMG dealt by all squad members increases by 10/11.5/13/14.5/16%, stacking up to 2 times and lasting 30s. The duration of each stack is calculated separately. Triggers once per use of a skill. Only one instance of this effect can exist in the same squad."
Yesterday Calls,"While off-field, the equipper's Energy Regen increases by 1.5/1.7/1.9/2.1/2.3 per second. When the equipper deals Physical DMG with an EX Special Attack, the Daze dealt by the equipper's attacks increases by 9/10.3/11.7/13/14.5% for 10s, stacking up to 3 times. At 3 stacks, all squad members gain 30/34.5/39/43.5/48% additional CRIT DMG for 40s. Repeated triggers reset the duration. Only one instance of this CRIT DMG boost effect can exist in the same squad."
Kraken's Cradle,"When the equipper's HP decreases, their Ice Sheer DMG increases by 6/7/8/9/10%, stacking up to 3 times and lasting 25s. The duration of each stack is calculated separately. This effect can trigger once every 0.5s. When the equipper's HP falls to 50% of Max HP or below, CRIT Rate increases by 20/23/26/29/32%."
Starlight Rider Faceplate,"Increases CRIT Rate by 20/23/26/29/32%. When the equipper launches a Special Attack, their Physical Sheer DMG increases by 10/11.5/13/14.5/16%, stacking up to 2 times and lasting 30s. Repeated triggers reset the duration."
Wrathful Vajra,"CRIT Rate increases by 20/23/26/29/32%. When the equipper launches an EX Special Attack, their Fire Sheer DMG increases by 9/10.35/11.7/13.05/14.4%, stacking up to 2 times and lasting 20s. The duration of each stack is calculated separately."
Tusks of Fury,"The Shield value provided by the equipper increases by 30/38/46/52/60%. When any squad member triggers Interrupt or Perfect Dodge, all squad members' DMG increases by 18/22.5/27/31.5/36% and Daze dealt increases by 12/15/18/21/24% for 20s. Passive effects of the same name do not stack."
Half-Sugar Bunny,"The equipper's Energy Regen increases by 0.46/0.53/06/0.67/0.76 per sec. All squad members gain 10/11.5/13./14.5/16% ATK and 10/11.5/13./14.5/16% Max HP. Only one instance of this effect can exist in the same squad. When the equipper activates or extends an Ether Veil, the whole squad gains 30/34.5/39/43.5/48% CRIT DMG for 60s. Repeated triggers reset the duration."
