Nombre W-Engine;Ataque wengine;Ataque;Recuperación de energía;Maestría de Anomalía del agente;Tasa de anomalía;Probabilidad de crítico;Daño crítico;Tasa de perforación;Puntos de vida;Defensa;Impacto;agente;tipow;pasiva
(Cinder) Cobalt;475;0;0;0;0;0;0;0;20;0;0;Ninguno;Ruptura;Al entrar en combate o al sustituir a un agente activo, el Ataque del portador aumenta en 7.2/8.2/9.3/10.4/11.5% durante 10s. Puede activarse un máximo de una vez cada 20s.
(Identity) Base;475;0;0;0;0;0;0;0;0;32;0;Ninguno;Defensor;Al recibir un golpe, aumenta la Defensa del portador en un 20/23/26/29/32% durante 8s.
(Identity) Inflection;475;0;0;0;0;0;0;0;0;32;0;Ninguno;Defensor;Al recibir un golpe, se reduce el daño recibido por el atacante en un 6/7/8/9/10% durante 12s.
Drill Rig - Red Axis;624;0;50;0;0;0;0;0;0;0;0;Anton;Atacante;Después de usar la técnica especial EX o una técnica en cadena, aumenta el daño eléctrico de los ataques normales y los ataques rápidos en 50/57.5/65/72.5/80% durante 10s. Este efecto puede activarse una vez cada 15s.
Housekeeper;624;25;0;0;0;0;0;0;0;0;0;Corin;Atacante;Al estar fuera del campo de batalla, aumenta la Recuperación de Energía en 0.45/0.52/0.58/0.65/0.72 ptos./s. Al golpear a un enemigo con una técnica especial EX, aumenta el daño físico del portador en 3/3.5/4/4.4/4.8% durante 1s. Pueden acumularse hasta 15 cargas. La duración se reinicia con cada activación.
Starlight Engine Replica;624;25;0;0;0;0;0;0;0;0;0;Billy;Atacante;Al golpear enemigos a más de 6m de distancia con un ataque normal o un ataque rápido, aumenta el daño físico infligido por el portador sobre el objetivo en 36/41/46.5/52/57.5% durante 8s.
Roaring Ride;624;25;0;0;0;0;0;0;0;0;0;Piper;Anomalo;Al golpear a un enemigo con una técnica especial EX, se genera al azar uno de los siguientes tres efectos durante 5s. Pueden activarse una vez cada 0.3s. No se acumulan con otros efectos del mismo tipo. La duración se reinicia con cada activación. Pueden acumularse distintos efectos a la vez. Aumenta el Ataque del portador en 8/9.2/10.4/11.6/12.8%. Aumenta la Maestría de Anomalía del portador en 40/46/52/58/64 ptos. Aumenta la Anomalía de Atributo del portador en 25/28/32/36/40%.
The Vault;624;0;50;0;0;0;0;0;0;0;0;Nicole;Soporte;Al infligir daño etéreo mediante una técnica especial EX, una técnica en cadena o una técnica definitiva, aumenta el daño de todos los miembros del equipo sobre el objetivo en 15/17.5/20/22/24% y aumenta la Recuperación de Energía del portador en 0.5/0.58/0.65/0.72/0.8 ptos./s durante 2s. Este efecto no se acumula con otros efectos del mismo nombre.
Bashful Demon;624;25;0;0;0;0;0;0;0;0;0;Soukaku;Soporte;Aumenta el daño glacial en 15/17.5/20/22/24%. Al ejecutar una técnica especial EX, aumenta el Ataque de todos los miembros del equipo en 2/2.3/2.6/2.9/3.2% durante 12s. Pueden acumularse hasta 4 cargas. La duración se reinicia por cada activación. Este efecto no se acumula con otros efectos del mismo nombre.
Kaboom the Cannon;624;0;50;0;0;0;0;0;0;0;0;Lucy;Soporte;Cuando cualquier unidad aliada del equipo golpea a un enemigo, el Ataque de todas las unidades aliadas aumenta en 2.5/2.8/3.2/3.6/4% durante 8s. Pueden acumularse hasta 4 cargas. La duración de cada carga es independiente. Cada unidad aliada puede acumular 1 carga de este efecto. Este efecto no se acumula con otros efectos del mismo nombre.
Box Cutter;624;0;0;0;0;0;0;0;0;0;15;Pulchra;Aturdidor;Al ejecutar una réplica, el daño físico infligido y el Aturdimiento provocado por el portador aumentan en 15/17.3/19.5/21.8/24% y en 10/11.5/13/14.5/16% respectivamente durante 10s.
Demara Battery Mark II;624;0;0;0;0;0;0;0;0;0;15;Anby;Aturdidor;Aumenta el daño eléctrico en 15/17.5/20/22/24%. Al golpear a un enemigo por medio de un contraataque o un ataque de apoyo, aumenta la Tasa de Energía del portador en 18/20.5/23/25/27.5% durante 8s.
Grill O'Wisp;624;0;0;0;0;20;0;0;0;0;0;Manato;Ruptura;El daño ígneo infligido por el portador aumenta en 15/17.25/19.5/21.75/24%. Cuando los PV del portador disminuyen, la Probabilidad de Crítico aumenta en 15/17.25/19.5/21.75/24% durante 5s.
Big Cylinder;624;0;0;0;0;0;0;0;0;40;0;Ben;Defensor;Reduce el daño recibido en 7.5/8.5/9.5/10.5/12%. Al recibir un golpe, la próxima vez que el portador golpee al enemigo infligirá daño adicional equivalente al 600/690/780/870/960% de su Defensa y será un golpe crítico. Puede activarse una vez cada 7.5s.
Tremor Trigram Vessel;624;25;0;0;0;0;0;0;0;0;0;Pan Yinhu;Defensor;El daño infligido por la técnica especial EX y la técnica definitiva del portador aumenta en 25/28.7/32.5/36.2/40%. Cuando cualquier miembro del equipo recibe daño o recupera PV, el portador recupera 2/2.3/2.6/2.9/3.2 ptos. de Energía. Puede activarse un máximo de una vez cada 5s.
Peacekeeper - Specialized;624;25;0;0;0;0;0;0;0;0;0;Seth;Defensor;Cuando el portador tiene un escudo, su Recuperación de Energía aumenta en 0.4 ptos./s. La acumulación de Anomalía de Atributo de la técnica especial EX y del ataque sucesivo aumenta en 36/40/45/50/55% y en 36/40/45/50/55% respectivamente.
Gilded Blossom;594;25;0;0;0;0;0;0;0;0;0;Ninguno;Atacante;El Ataque aumenta en 6/6.9/7.8/8.7/9.6%. El daño infligido por la técnica especial EX aumenta en 15/17.2/19.5/21.8/24%.
Marcato Desire;594;0;0;0;0;20;0;0;0;0;0;Ninguno;Atacante;Cuando una técnica especial EX o una técnica en cadena golpea a un enemigo, el Ataque del portador aumenta en 6/6.9/7.8/8.7/9.6% durante 8s. Mientras el objetivo esté bajo una Anomalía de Atributo, este efecto aumenta en 6/6.9/7.8/8.7/9.6% adicionales.
Starlight Engine;594;25;0;0;0;0;0;0;0;0;0;Ninguno;Atacante;Al ejecutar un contraataque o un apoyo rápido, aumenta el Ataque del portador en 12/13.8/15.6/17.4/19.2% durante 12s.
Street Superstar;594;25;0;0;0;0;0;0;0;0;0;Ninguno;Atacante;Cuando cualquier miembro del equipo ejecute una técnica en cadena, el portador adquiere 1 carga de este efecto. Pueden acumularse hasta 3 cargas. La próxima vez que ejecute una técnica definitiva, consumirá todas las cargas. Por cada carga consumida, aumenta el daño infligido por dicha técnica en 15/17.2/19.5/21.7/24%.
Rainforest Gourmet;594;0;0;75;0;0;0;0;0;0;0;Ninguno;Anomalo;Por cada 10 ptos. de Energía consumidos, el portador obtiene 1 carga de este efecto. Cada carga aumenta el Ataque del portador en 2.5/2.8/3.2/3.6/4% durante 10s. Pueden acumularse hasta 10 cargas. La duración de cada carga es independiente.
Weeping Gemini;594;25;0;0;0;0;0;0;0;0;0;Ninguno;Anomalo;Cuando cualquier miembro del equipo provoque una Anomalía de Atributo sobre el enemigo, el portador obtiene 1 carga de este efecto. Cada carga aumenta la Maestría de Anomalía del portador en 30/34/38/42/48 ptos. Pueden acumularse hasta 4 cargas. Cuando el enemigo se recupere del Aturdimiento o sea eliminado, el efecto desaparecerá. La duración de cada carga es independiente.
Slice of Time;594;0;0;0;0;0;0;20;0;0;0;Ninguno;Soporte;Cuando cualquier miembro del equipo ejecute un contraataque, una técnica especial EX, un ataque de apoyo o una técnica en cadena, obtienes 20/25/30/35 | 23/28.5/34.5/40 | 26/32/39/45 | 29/35.5/43.5/48 | 32/40/48/55 ptos. de dB respectivamente, y el portador recupera 0.7/0.8/0.9/1/1.1 ptos. de Energía. Puede activarse una vez cada 12s. El TdE para cada técnica es individual. Este efecto no se acumula con otros efectos del mismo nombre.
Steam Oven;594;0;50;0;0;0;0;0;0;0;0;Ninguno;Aturdidor;Por cada 10 pts. de Energía que tenga el portador, su Impacto aumenta en un 2 / 2.3 / 2.6 / 2.9 / 3.2 %, hasta un máximo de 8 cargas. Al consumir todas las cargas, este efecto permanece durante 8 s. La duración de cada carga es independiente.
Precious Fossilized Core;594;0;0;0;0;0;0;0;0;0;15;Ninguno;Aturdidor;Cuando los PV del objetivo sean iguales o superiores al 50 %, aumenta el Aturdimiento provocado por el portador en un 10 / 11.5 / 13 / 14.5 / 16 %. Cuando los PV del objetivo sean iguales o superiores al 75 %, aumenta esta bonificación en un 10 / 11.5 / 13 / 14.5 / 16 % adicional.
The Simmering Pot;594;0;50;0;0;0;0;0;0;0;0;Ninguno;Aturdidor;Al activar un Seguimiento de Asistencia, el Aturdimiento (Daze) infligido por quien lo equipa al objetivo aumenta en un 7.2/8.2/9.2/10.2/11.5%, y el daño infligido aumenta en un 7.2/8.2/9.2/10.2/11.5% durante 30 s.
Puzzle Sphere;594;25;0;0;0;0;0;0;0;0;0;Ninguno;Ruptura;Al ejecutar la técnica especial EX, el Daño Crítico del portador aumenta en 16/18.4/20.8/23.2/25.6% durante 12s. Además, si los PV actuales del objetivo son inferiores al 50% de sus PV máx., el daño infligido por la técnica especial EX aumenta en 20/23/26/29/32%.
Cauldron of Clarity;594;0;0;0;0;0;0;0;25;0;0;Ninguno;Ruptura;Cuando el portador ejecute una técnica especial EX, obtiene 1 carga de este efecto. Cada carga aumenta el daño del portador en 4/4.6/5.2/5.8/6.4%, pudiendo acumularse hasta 3 cargas y con una duración de 20s. Puede activarse una vez cada 0.5s, y las activaciones repetidas reinician la duración. Con 3 cargas, la Probabilidad de Crítico del portador aumenta en 6.5/7.5/8.5/9.4/10.4%.
Bunny Band;594;0;0;0;0;0;0;0;0;40;0;Ninguno;Defensor;Aumentan los PV en un 8/9.2/10.4/11.6/12.8%. Al llevar un escudo, aumenta el Ataque del portador en un 10/11.5/13/14.5/16%.
Reel Projector;594;0;0;0;0;0;0;0;0;0;15;Ninguno;Defensor;Cuando los PV de cualquier personaje del equipo son ≥7.5/8.6/9.7/10.8/12%, el daño recibido se reduce en un 50% y la contaminación miasmática recibida se reduce en un 10/11.5/13/14.5/16%. Este efecto solo puede aplicarse una vez por todo el equipo.
Original Transmorpher;594;0;0;0;0;0;0;0;25;0;0;Ninguno;Defensor;Aumentan los PV en un 8/9.2/10.4/11.6/12.8%. Al recibir un golpe, aumenta el Impacto del portador en un 10/11.5/13/14.5/16% durante 12s.
Cannon Rotor;594;0;0;0;0;20;0;0;0;0;0;Ninguno;Atacante;El Ataque aumenta en 7.5/8.6/9.7/10.8/12%. Al golpear al enemigo con un golpe crítico, el portador inflige daño adicional equivalente al 200% de su Ataque. Puede activarse una vez cada 8/7.5/7/6.5/6s.
Electro-Lip Gloss;594;0;0;75;0;0;0;0;0;0;0;Ninguno;Anomalo;Mientras haya enemigos afectados por Anomalía de Atributo en combate, aumenta el Ataque del portador en 10/11.5/13/14.5/16% y aumenta el daño infligido al objetivo en 15/17.5/20/22.5/25%.
Unfettered Game Ball;594;0;50;0;0;0;0;0;0;0;0;Ninguno;Soporte;Cuando el portador contrarreste al enemigo, aumenta la Probabilidad de Crítico de todos los miembros del equipo sobre el objetivo en 12/13.5/15.5/17.5/20% durante 12s. Este efecto no se acumula con otros efectos del mismo nombre.
Radiowave Journey;594;0;0;0;0;0;0;0;25;0;0;Ninguno;Ruptura;Al ejecutar la técnica en cadena o la técnica definitiva, el portador obtiene 1 carga de bonificación. Por cada carga, la Fuerza Bruta del portador aumenta en 80/92/104/116/128 ptos. durante 12s. Pueden acumularse hasta 3 cargas. La duración de cada carga es independiente.
Six Shooter;594;0;0;0;0;0;0;0;0;0;15;Ninguno;Aturdidor;Cada 3 s el portador obtendrá 1 carga de este efecto. Pueden acumularse hasta 6 cargas. Al ejecutar una técnica especial EX, consumirá todas las cargas. Por cada carga consumida, aumenta el Aturdimiento provocado por dicha técnica en un 4 / 4.6 / 5.2 / 5.8 / 6.4 %.
Spring Embrace;594;25;0;0;0;0;0;0;0;0;0;Ninguno;Defensor;Reduce el daño recibido en un 7.5/8.5/9.5/10.5/12%. Al recibir un golpe, aumenta la Tasa de Energía del portador en un 10/11.5/13/14.5/16% durante 12s. Cuando el portador pase a estar inactivo, este efecto se transferirá al agente activo y se reiniciará la duración. Este efecto no se acumula con otros efectos del mismo nombre.
Steel Cushion;684;0;0;0;0;24;0;0;0;0;0;Nekomata;Atacante;Aumenta el daño físico en un 20/25/30/35/40%. Al golpear a un enemigo por la espalda, aumenta el daño infligido por el portador en un 25/31.5/38/44/50%.
The Brimstone;684;30;0;0;0;0;0;0;0;0;0;Soldier 11;Atacante;Al golpear a un enemigo por medio de un ataque normal, un ataque rápido o un contraataque, aumenta el Ataque del portador en un 3.5/4.4/5.2/6/7% durante 8s. Pueden acumularse hasta 8 cargas. Puede activarse una vez cada 0.5s. La duración de cada carga es independiente.
Fusion Compiler;684;0;0;0;0;0;0;24;0;0;0;Grace;Anomalo;Aumenta el Ataque en un 12/15/18/21/24%. Al ejecutar una técnica especial o una técnica especial EX, aumenta la Maestría de Anomalía del portador en 25/31/37/43/50ptos. durante 8s. Pueden acumularse hasta 3 cargas. La duración de cada carga es independiente.
Weeping Cradle;684;0;0;0;0;0;0;24;0;0;0;Rina;Soporte;Al estar inactivo, la Recuperación de Energía del portador aumenta en 0.6/0.76/0.9/1.05/1.2ptos. Cuando el portador golpea al enemigo, el daño que infligen todos los miembros del equipo al objetivo aumenta en un 10/12.5/15/17.5/20% durante 3s. Mientras dure el efecto, este aumenta en un 1.7/2/2.5/3/3.3% cada 0.5s hasta un máximo de un 10.2/12.5/15/17.5/20%. Al volver a activar este efecto, solo se reiniciará su duración, pero no reiniciará el efecto de aumento de daño. Este efecto no se acumula con otros efectos del mismo nombre.
Hellfire Gears;684;0;0;0;0;0;0;0;0;0;18;Koleda;Aturdidor;Al encontrarse inactivo, aumenta la Recuperación de Energía del portador en 0.6/0.75/0.9/1.05/1.2ptos. Al ejecutar una técnica especial EX, aumenta el Impacto del portador en un 10/12.5/15/17.5/20% durante 10s. Pueden acumularse hasta 2 cargas. La duración de cada carga es independiente.
The Restrained;684;0;0;0;0;0;0;0;0;0;18;Lycaon;Aturdidor;Al golpear al enemigo, aumenta el Aturdimiento provocado por medio del ataque normal en un 6/7.5/9/10.5/12% durante 8s. Pueden acumularse hasta 5 cargas. Puede activarse como mucho una vez con cada habilidad. La duración de cada carga es independiente.
Cloudcleave Radiance;743;0;0;0;0;0;48;0;0;0;0;Ye Shunguang;Atacante;El daño que inflige el portador ignora un 20/22/24/26/28% de la resistencia fisica del objetivo. Cuando el portador activa velo etéreo, su daño aumenta en un 25/28.7/32/36.1/40% y su Daño Critico aumenta en un 25/28.7/32/36.1/40% durante 40s. La duración se reinicia con cada activación.
Hailstorm Shrine;743;0;0;0;0;24;0;0;0;0;0;Miyabi;Anomalo;El Daño Crítico aumenta en un 50/57/65/72/80%. Al ejecutar una técnica especial EX o cuando cualquier miembro del equipo provoca Anomalía de Atributo sobre un enemigo, el daño glacial del portador aumenta en un 20/23/26/29/32% durante 15s. Pueden acumularse hasta 2 cargas. La duración de cada carga es independiente.
Qingming Birdcage;743;0;0;0;0;0;0;0;30;0;0;Yixuan;Ruptura;La Probabilidad de Crítico aumenta en un 20/23/26/29/32%. Cuando el portador ejecuta una técnica especial EX, obtiene el efecto de compañero Qingming, el cual puede acumularse hasta 2 veces y dura 15s. Al entrar en combate, obtiene 2 cargas de inmediato. La duración se reinicia con cada activación. Cada carga del efecto compañero Qingming aumenta el daño etéreo del portador en un 8/9.2/10.4/11.6/12.8%, y aumenta el daño etéreo puro de la técnica definitiva y de la técnica especial EX en un 10/11.5/13/14.5/16%.
Cordis Germina;713;0;0;0;0;24;0;0;0;0;0;Seed;Atacante;La Probabilidad de Crítico aumenta en un 15/17/19/21/23%. Cuando el portador inflige daño con un ataque normal o una técnica especial EX, puede obtener por separado 1 carga de bonificación. Cada carga de bonificación hace que el daño eléctrico infligido por el portador aumente en un 12.5/14.5/16.5/18.5/20% durante 40s. Pueden acumularse hasta 2 cargas. La duración de cada carga es independiente. Puede activarse un máximo de una vez por cada habilidad. Al contar con 2 cargas, el daño que inflige el portador con el ataque normal y la técnica definitiva ignora un 20/23/26/29/32% de la Defensa del enemigo.
Serpentine Seeker;713;0;0;0;0;24;0;0;0;0;0;Cissia;Atacante;La Probabilidad de CRIT aumenta en 25/28.8/32.5/36.3/40%. Cuando el portador consume al menos 20 de Energía en una sola instancia, cada 20 de Energía consumida otorgan 3 s de un buff: al infligir Daño Eléctrico, ignora 28/31.5/35/38.5/42% de la DEF del objetivo. Las activaciones repetidas extienden la duración, hasta un máximo de 30 s. Al entrar en combate, se obtienen 10 s de este buff. Mientras el portador no sea el personaje activo, la duración deja de disminuir.
Bellicose Blaze;713;0;60;0;0;0;0;0;0;0;0;Orphie & Magus;Atacante;La Probabilidad de Crítico aumenta en un 20/22/26/29/32%. Cuando el portador inflige daño ígneo mediante una réplica, sus ataques ignoran un 15/17.2/19.5/21.7/24% de la Defensa del enemigo durante 8s. Este efecto puede activarse un máximo de una vez cada 3s. Pueden acumularse hasta 2 cargas. La duración se reinicia con cada activación.
Zanshin Herb Case;713;0;0;0;0;0;48;0;0;0;0;Harumasa;Atacante;La Probabilidad de Crítico aumenta en un 10/11.5/13/14.5/16%. El daño eléctrico infligido por el ataque rápido aumenta en un 40/46/52/58/64%. Cuando cualquier miembro del equipo provoca Anomalía de Atributo o Aturdimiento sobre el enemigo, la Probabilidad de Crítico del portador aumenta en un 10/11.5/13/14.5/16% adicional durante 15s.
Myriad Eclipse;713;0;0;0;0;24;0;0;0;0;0;Hugo;Atacante;El Daño Crítico aumenta en un 45/51.75/58.5/65.25/72%. Al infligir daño glacial con la técnica especial EX, la técnica en cadena o la técnica definitiva, el personaje obtiene el efecto de declaración de sentencia de grado cero durante 3s. Durante el efecto de declaración de sentencia de grado cero, cuando el personaje golpea a un enemigo, ignora un 25/28.75/32.5/36.25/40% de su Defensa.
Riot Suppressor Mark VI;713;0;0;0;0;0;48;0;0;0;0;Zhu Yuan;Atacante;Aumenta la Probabilidad de Crítico en un 15/18.8/22.6/26.4/30%. Al ejecutar una técnica especial EX, el portador obtiene 8 cargas de este efecto. Pueden acumularse hasta 8 cargas. Al inflingir daño etéreo por medio de un ataque normal, consumirá 1 carga, la cual aumenta el daño inflingido por dicha habilidad en un 35/43.5/52/60.5/70%.
Deep Sea Visitor;713;0;0;0;0;24;0;0;0;0;0;Ellen;Atacante;Aumenta el daño glacial en un 25/31.5/38/44.5/50%. Al golpear a un enemigo por medio de un ataque normal, aumenta la Probabilidad de Crítico del portador en un 10/12.5/15/17.5/20% durante 8s. Al infligir daño glacial por medio de un ataque rápido, aumenta la Probabilidad de Crítico del portador en un 10/12.5/15/17.5/20% adicional durante 15s. La duración de cada bonificación es independiente.
Severed Innocence;713;0;0;0;0;0;48;0;0;0;0;Soldier 0 - Anby;Atacante;El Daño Crítico aumenta en un 30/34.5/39/43.5/48%. Cuando el portador golpea a un enemigo con un ataque normal, una técnica especial o una réplica, puede obtener por separado 1 carga de bonificación. Cada carga de bonificación hace que el Daño Crítico del portador aumente en un 10/11.5/13/14.5/16% adicional durante 30s. Pueden acumularse hasta 3 cargas. La duración de cada carga es independiente. Puede activarse un máximo de una vez por cada habilidad. Al contar con 3 cargas, el daño eléctrico del portador aumenta en un 20/23/26/29/32%.
Heartstring Nocturne;713;0;0;0;0;24;0;0;0;0;0;Evelyn;Atacante;El Daño Crítico aumenta en un 50/57.5/65/72.5/80%. Cuando el portador entra en combate o ejecuta una técnica en cadena o una técnica definitiva, obtiene 1 carga de acorde del corazón. Por cada carga de acorde del corazón, la técnica en cadena y la técnica definitiva del portador ignoran un 12.5/14.5/16.5/18.5/20% de la resistencia ígnea del objetivo durante 30s. Pueden acumularse hasta 2 cargas. La duración se reinicia con cada activación.
Flamemaker Shaker;713;30;0;0;0;0;0;0;0;0;0;Burnice;Anomalo;Al estar inactivo, la Recuperación de Energía del portador aumenta en 0.6/0.75/0.9/1.05/1.2ptos./s. Al golpear a un enemigo con la técnica especial EX o el ataque de apoyo, el daño infligido por el portador aumenta en un 3.5/4.4/5.2/6.1/7% durante 6s. Pueden acumularse hasta 10 cargas. Puede activarse una vez cada 0.3s. Al estar inactivo, la tasa de acumulación se duplica. La duración se reinicia con cada activación. Al obtener el efecto de aumento de daño, si el número de cargas acumuladas es mayor o igual a 5, la Maestría de Anomalía del portador aumenta en 50/62/75/87/100ptos. adicionales durante 6s. El efecto de aumento de la Maestría de Anomalía no se acumula.
Sharpened Stinger;713;0;0;90;0;0;0;0;0;0;0;Jane;Anomalo;Al ejecutar un ataque rápido, obtienes 1 carga de instinto cazador. Por cada carga de instinto cazador, el daño físico del portador aumenta en un 12/15/18/21/24% durante 10s. Pueden acumularse hasta 3 cargas. Puede activarse una vez cada 0.5s. La duración se reinicia con cada activación. Al entrar en combate o al ejecutar una evasión perfecta, el portador obtiene 3 cargas de instinto cazador de inmediato. Cuando las cargas de instinto cazador alcanzan el máximo, la acumulación de Anomalía de Atributo del portador aumenta en un 40/50/60/70/80%.
Flight of Fancy;713;0;0;90;0;0;0;0;0;0;0;Vivian;Anomalo;La tasa de acumulación de Anomalía de Atributo aumenta en un 40/46/52/58/64%. Cuando el portador inflige daño etéreo, su Maestría de Anomalía aumenta en 20/23/26/29/32ptos. durante 5s. Pueden acumularse hasta cargas. Puede activarse un máximo de una vez cada 0.5s. La duración se reinicia con cada activación.
Practiced Perfection;713;30;0;0;0;0;0;0;0;0;0;Alice;Anomalo;La Tasa de Anomalía del portador aumenta en 60/69/78/87/96ptos. Al activar embestida, el daño físico que inflige el portador aumenta en un 20/23/26/29/32% durante 20s. Pueden acumularse hasta 2 cargas. La duración se reinicia con cada activación. Al entrar en combate, el portador obtiene inmediatamente 2 cargas del efecto.
Timeweaver;713;30;0;0;0;0;0;0;0;0;0;Yanagi;Anomalo;La tasa de acumulación de Anomalía eléctrica del portador aumenta en un 30/35/40/45/50%. Al golpear a un enemigo afectado por Anomalía de Atributo con una técnica especial o una técnica especial EX, la Maestría de Anomalía del portador aumenta en 75/85/95/105/115ptos. durante 15s. Cuando la Maestría de Anomalía del portador es igual o superior a 375ptos., el daño de disfunción que inflige el portador aumenta en un 25/27.5/30/32.5/35%.
Angel in the Shell;713;0;0;0;30;0;0;0;0;0;0;Aria;Anomalo;La Maestría de Anomalía del portador aumenta en 90/103/117/130/144 ptos. Cuando el portador es un personaje etéreo y pasa a ser el personaje en el campo de batalla o ejecuta una técnica especial o una técnica especial EX, obtiene una bonificación: el daño infligido a los enemigos afectados por una Anomalía de Atributo aumenta en un 20/23/26/29/32%, y el daño de todas las Anomalías de Atributo que activa aumenta en un 10/11.5/13/14.5/16%. Este efecto dura 15s. La duración se reinicia con cada activación. Al pasar a ser un personaje en reserva, se elimina este efecto.
Frostfall Sickle;713;0;0;0;30;0;0;0;0;0;0;Promeia;Anomalo;Cuando el portador es un agente glacial y ejecuta la técnica especial o la técnica especial EX, su daño glacial aumenta en un 20/23/26/29/32% durante 40s. Pueden acumularse hasta 2 cargas. Puede activarse un máximo de una vez por cada habilidad. La duración se reinicia con cada activación. Al poseer 2 cargas del efecto, el daño de floridez del portador aumenta en un 35/38.5/42/45.5/50% adicional.
Metanukimorphosis;713;0;60;0;0;0;0;0;0;0;0;Yuzuha;Soporte;Cuando el portador inflige daño físico con la técnica especial EX o la técnica definitiva, su Tasa de Anomalía aumenta en 30/34/39/43/48ptos. durante 40s. Cuando el portador golpea a un enemigo con una réplica, la Maestría de Anomalía de todos los personajes del equipo aumenta en 60/69/78/87/96ptos. durante 40s. Este efecto solo puede aplicarse una vez por todo el equipo.
Dreamlit Hearth;713;0;0;0;0;0;0;0;30;0;0;Lucia;Soporte;La Recuperación de Energía del portador aumenta en 0,4/0,46/0,52/0,58/0,64ptos./s. Cuando el portador activa o prolonga la duración de velo etéreo, el daño infligido por todos los personajes del equipo aumenta en un 25/28,8/32,5/35,3/40% y los PV máx. aumentan en un 15/17,3/19,5/21,8/24% durante 45s. La duración se reinicia con cada activación. Este efecto solo puede aplicarse una vez por todo el equipo.
Elegant Vanity;713;30;0;0;0;0;0;0;0;0;0;Astra Yao;Soporte;Cuando cualquier miembro del equipo entra en combate por medio de un apoyo rápido, una técnica en cadena, un apoyo defensivo o un apoyo evasivo, el portador recupera 5/5.5/6/6.5/7ptos. de energía. Puede activarse una vez cada 5s. Cuando el portador consume 20ptos. o más de energía, el daño que infligen todos los miembros del equipo aumenta en un 10/11.5/13/14.5/16% durante 20s. Pueden acumularse hasta 2 cargas. La duración se reinicia con cada activación. Este efecto solo puede aplicarse una vez por todos los miembros del equipo.
