Nombre;probabilidad;daño crítico;Tasa de perforación;Maestría de anomalía;Perforación plana;elemento;daño elemental;Tipo;ataque;puntos de vida;defensa;tasa de anomalía;Impacto;Recuperación de energía;nivel;Aturdimiento;Facción;Rango
Burnice;5;50;0;120;0;Fuego;0;Anomalo;863;7368;600;118;83;1,1;60;0;Hijos de Calidon;S
Piper;5;50;0;118;0;Físico;0;Anomalo;758;6976;613;116;86;1,1;60;0;Hijos de Calidon;A
Pulchra;5;50;0;90;0;Físico;0;Aturdidor;665;7612;606;92;136;1,2;60;0;Hijos de Calidon;A
Miyabi;5;50;0;238;0;Hielo;0;Anomalo;880;7673;606;113;86;1,2;60;0;Sección 6;S
Yanagi;5;50;0;114;0;Electrico;0;Anomalo;872;7788;612;148;86;1,2;60;0;Sección 6;S
Harumasa;19,04;50;0;95;0;Electrico;0;Atacante;915;7405;600;80;90;1,2;60;0;Sección 6;S
Soukaku;5;50;0;96;0;Hielo;0;Soporte;665;8025;597;93;86;1,1;60;0;Sección 6;A
Astra Yao;5;50;0;92;0;Etereo;0;Soporte;715;8609;600;93;83;1,1;60;0;Estrellas de Lyra;S
Evelyn;19,04;50;0;90;0;Fuego;0;Atacante;929;7788;612;92;93;1,2;60;0;Estrellas de Lyra;S
Soldier 0 - Anby;19,04;50;0;93;0;Electrico;0;Atacante;929;7673;612;94;93;1,2;60;0;Batallón Argente del Ministerio de Defensa;S
Hugo;19,04;50;0;90;0;Hielo;0;Atacante;919;7940;616;86;95;1,2;60;0;Ruiseñor;S
Vivian;5;50;0;118;0;Etereo;0;Anomalo;880;7673;606;144;86;1,2;60;0;Ruiseñor;S
Orphie & Magus;5;78,8;0;90;0;Fuego;0;Atacante;929;7788;612;92;93;1,56;60;0;Batallón Óbolos;S
Trigger;5;50;0;95;0;Electrico;0;Aturdidor;750;7923;600;96;131;1,2;60;0;Batallón Óbolos;S
Soldier 11;19,04;50;0;93;0;Fuego;0;Atacante;888;7673;612;94;93;1,2;60;0;Batallón Óbolos;S
Seed;5;78,8;0;93;0;Electrico;0;Atacante;929;7673;612;94;93;1,2;60;0;Batallón Óbolos;S
Yixuan;19,04;50;0;90;0;Etereo;0;Ruptura;872;8373;441;92;93;1,2;60;0;Pináculo Yunkui;S
Ye Shunguang;19,04;50;0;93;0;Físico;0;Atacante;938;7673;606;94;83;1,2;60;0;Pináculo Yunkui;S
Ju Fufu;19,4;50;0;93;0;Fuego;0;Aturdidor;765;8250;517;96;118;1,2;60;0;Pináculo Yunkui;S
Pan Yinhu;5;50;0;90;0;Físico;0;Defensor;661;8453;712;91;94;1,1;60;0;Pináculo Yunkui;A
Yuzuha;5;50;0;93;0;Físico;0;Soporte;758;8829;612;124;86;1,2;60;0;Cabaña del Terror;S
Alice;5;50;0;118;0;Físico;0;Anomalo;880;7673;606;142;86;1,2;60;0;Cabaña del Terror;S
Manato;5;50;0;90;0;Fuego;0;Ruptura;755;7724;443;87;95;1,2;60;0;Cabaña del Terror;A
Lucia;5;50;0;95;0;Etereo;0;Soporte;758;8477;594;96;83;1,56;60;0;Cabaña del Terror;S
Yidhari;19,04;50;0;90;0;Hielo;0;Ruptura;859;8497;448;87;95;1,2;60;0;Cabaña del Terror;S
Dialyn;19,4;50;0;93;0;Físico;0;Aturdidor;758;8250;612;94;110;1,2;60;0;Auditoría Krampus;S
Banyue;19,4;50;0;89;0;Fuego;0;Ruptura;859;8497;445;90;95;1,2;60;0;Auditoría Krampus;S
Promeia;5;50;0;114;0;Hielo;0;Anomalo;872;7780;612;148;86;1,2;60;0;Auditoría Krampus;S
Zhao;5;50;0;96;0;Hielo;0;Defensor;765;9117;701;93;93;1,2;60;0;Auditoría Krampus;S
Sunna;5;50;0;95;0;Físico;0;Soporte;758;8477;600;96;98;1,2;60;0;Ángeles de la Delusión;S
Aria;5;50;0;116;0;Etereo;0;Anomalo;863;7750;619;151;87;1,2;60;0;Ángeles de la Delusión;S
Nangong Yu;5;50;0;93;0;Etereo;0;Aturdidor;746;8373;622;126;120;1,2;60;0;Ángeles de la Delusión;S
Velina;5;50;0;165;0;Viento;0;Anomalo;872;7788;612;112;86;1,2;60;0;Departamento de Planificación Exterior;S
